area,properties_with_published_rent,median_starting_rent,minimum_starting_rent,maximum_starting_rent,properties_at_or_below_budget,share_at_or_below_budget
Roxborough,5,1310,1249,1750,4,0.8
Wynnefield,1,1399,1399,1399,1,1
Mount Airy,5,1473,1314,1590,3,0.6
Northeast Philadelphia,4,1488.5,1421,1591,2,0.5
Manayunk,1,1565,1565,1565,0,0
