slug,property,location_heading,model_raw,beds_raw,baths_raw,rent_raw,sqft_raw,source_url,retrieved_at_utc,beds,baths,rent_start,sqft_min,sqft_max,exact_area,special_layout,area,eligible_standard_1br,exclusion_reason,monthly_rent_per_sqft,within_base_budget
forest-station,Forest Station,Somerton Apartments in Philadelphia,2 Bedroom,2,1,"Starting At $1,425",728,https://galmangroup.com/property/forest-station/,2026-09-21T20:45:22Z,2,1,1425,728,728,TRUE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,1.9574175824175823,TRUE
forest-station,Forest Station,Somerton Apartments in Philadelphia,2 BedroomTownhouse,2,1.5,"Starting At $1,924",960,https://galmangroup.com/property/forest-station/,2026-09-21T20:45:22Z,2,1.5,1924,960,960,TRUE,TRUE,Northeast Philadelphia,FALSE,Not one bedroom,2.004166666666667,FALSE
forest-station,Forest Station,Somerton Apartments in Philadelphia,3 BedroomTownhouse,3,2.5,Call for Availability,"1,238",https://galmangroup.com/property/forest-station/,2026-09-21T20:45:22Z,3,2.5,NA,1238,1238,TRUE,TRUE,Northeast Philadelphia,FALSE,Not one bedroom,NA,FALSE
gail-court-apartments,Gail Court Apartments,Apartments for Rent in Fox Chase,Studio | 1 Bath,N/A,1,Call for Availability,229,https://galmangroup.com/property/gail-court-apartments/,2026-09-21T20:45:24Z,NA,1,NA,229,229,TRUE,FALSE,Northeast Philadelphia,NA,No published numerical rent,NA,FALSE
gail-court-apartments,Gail Court Apartments,Apartments for Rent in Fox Chase,1 Bed | 1 Bath,1,1,Call for Availability,550-578,https://galmangroup.com/property/gail-court-apartments/,2026-09-21T20:45:24Z,1,1,NA,550,578,FALSE,FALSE,Northeast Philadelphia,TRUE,No published numerical rent,NA,FALSE
gail-court-apartments,Gail Court Apartments,Apartments for Rent in Fox Chase,2 Bed | 1 Bath,2,1,"Starting at $1,415",796,https://galmangroup.com/property/gail-court-apartments/,2026-09-21T20:45:24Z,2,1,1415,796,796,TRUE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,1.7776381909547738,TRUE
hampton-gardens,Hampton Gardens,Apartments for Rent in Northeast Philadelphia,Studio | 1 Bath,0,1,"Starting at $1,268",390-459,https://galmangroup.com/property/hampton-gardens/,2026-09-21T20:45:28Z,0,1,1268,390,459,FALSE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,NA,TRUE
hampton-gardens,Hampton Gardens,Apartments for Rent in Northeast Philadelphia,2 Bed | 1 Bath,2,1,"Starting at $1,475",654-728,https://galmangroup.com/property/hampton-gardens/,2026-09-21T20:45:28Z,2,1,1475,654,728,FALSE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,NA,TRUE
hampton-gardens,Hampton Gardens,Apartments for Rent in Northeast Philadelphia,2 Bedroom Deluxe,2,1,"Starting at $1,970",728,https://galmangroup.com/property/hampton-gardens/,2026-09-21T20:45:28Z,2,1,1970,728,728,TRUE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,2.706043956043956,FALSE
leverington-court,Leverington Court,Apartments for Rent in Roxborough,Studio,Studio,1,Call for Availability,437,https://galmangroup.com/property/leverington-court/,2026-09-21T20:45:37Z,0,1,NA,437,437,TRUE,FALSE,Roxborough,FALSE,Not one bedroom,NA,FALSE
leverington-court,Leverington Court,Apartments for Rent in Roxborough,1 Bedroom,1,1,Call for Availability,760,https://galmangroup.com/property/leverington-court/,2026-09-21T20:45:37Z,1,1,NA,760,760,TRUE,FALSE,Roxborough,TRUE,No published numerical rent,NA,FALSE
leverington-court,Leverington Court,Apartments for Rent in Roxborough,1 Bedroom/Den,1,1,Call for Availability,874,https://galmangroup.com/property/leverington-court/,2026-09-21T20:45:37Z,1,1,NA,874,874,TRUE,TRUE,Roxborough,FALSE,"Junior, den, bi-level or townhouse layout",NA,FALSE
leverington-court,Leverington Court,Apartments for Rent in Roxborough,2 Bedroom,2,1,"Starting at $1,835",817-893,https://galmangroup.com/property/leverington-court/,2026-09-21T20:45:37Z,2,1,1835,817,893,FALSE,FALSE,Roxborough,FALSE,Not one bedroom,NA,FALSE
lions-gate-apartments,Lion’s Gate Apartments,"Apartments for Rent in Bustleton, ​Philadelphia",1 Bedroom,1,1,"Starting At $1,421",628,https://galmangroup.com/property/lions-gate-apartments/,2026-09-21T20:45:39Z,1,1,1421,628,628,TRUE,FALSE,Northeast Philadelphia,TRUE,Included,2.2627388535031847,TRUE
lions-gate-apartments,Lion’s Gate Apartments,"Apartments for Rent in Bustleton, ​Philadelphia",2 Bedroom,2,2,"Starting At $1,826",817,https://galmangroup.com/property/lions-gate-apartments/,2026-09-21T20:45:39Z,2,2,1826,817,817,TRUE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,2.2350061199510405,FALSE
the-mccallum,The McCallum,"Apartments in Mount Airy, Philadelphia",Studio,Studio,1,"Starting at $1,176",432,https://galmangroup.com/property/the-mccallum/,2026-09-21T20:45:41Z,0,1,1176,432,432,TRUE,FALSE,Mount Airy,FALSE,Not one bedroom,2.7222222222222223,TRUE
the-mccallum,The McCallum,"Apartments in Mount Airy, Philadelphia",1 Bedroom*,1,1,"Starting at $1,473",647-864,https://galmangroup.com/property/the-mccallum/,2026-09-21T20:45:41Z,1,1,1473,647,864,FALSE,FALSE,Mount Airy,TRUE,Included,NA,TRUE
the-mccallum,The McCallum,"Apartments in Mount Airy, Philadelphia",1 BedroomBi-Level,1,1,Call for Availability,817,https://galmangroup.com/property/the-mccallum/,2026-09-21T20:45:41Z,1,1,NA,817,817,TRUE,TRUE,Mount Airy,FALSE,"Junior, den, bi-level or townhouse layout",NA,FALSE
the-mccallum,The McCallum,"Apartments in Mount Airy, Philadelphia",2 Bedroom,2,2,"Starting at $1,932","1,015-1,214",https://galmangroup.com/property/the-mccallum/,2026-09-21T20:45:41Z,2,2,1932,1015,1214,FALSE,FALSE,Mount Airy,FALSE,Not one bedroom,NA,FALSE
pine-manor,Pine Manor,Apartments in Fox Chase,1 Bedroom Jr,1,1,Call for Availability,449,https://galmangroup.com/property/pine-manor/,2026-09-21T20:44:49Z,1,1,NA,449,449,TRUE,TRUE,Northeast Philadelphia,FALSE,"Junior, den, bi-level or townhouse layout",NA,FALSE
pine-manor,Pine Manor,Apartments in Fox Chase,1 Bedroom,1,1,"Starting At $1,457",580,https://galmangroup.com/property/pine-manor/,2026-09-21T20:44:49Z,1,1,1457,580,580,TRUE,FALSE,Northeast Philadelphia,TRUE,Included,2.5120689655172415,TRUE
pine-manor,Pine Manor,Apartments in Fox Chase,2 Bedroom,2,1,"Starting At $1,835",761,https://galmangroup.com/property/pine-manor/,2026-09-21T20:44:49Z,2,1,1835,761,761,TRUE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,2.4113009198423128,FALSE
the-ridge-apartments,The Ridge Apartments,Roxborough Apartments in Philadelphia,1 Bedroom Jr,1,1,"Starting at $1,180",450,https://galmangroup.com/property/the-ridge-apartments/,2026-09-21T20:46:22Z,1,1,1180,450,450,TRUE,TRUE,Roxborough,FALSE,"Junior, den, bi-level or townhouse layout",2.6222222222222222,TRUE
the-ridge-apartments,The Ridge Apartments,Roxborough Apartments in Philadelphia,1 Bedroom,1,1,"Starting at $1,255",616,https://galmangroup.com/property/the-ridge-apartments/,2026-09-21T20:46:22Z,1,1,1255,616,616,TRUE,FALSE,Roxborough,TRUE,Included,2.0373376623376624,TRUE
the-ridge-apartments,The Ridge Apartments,Roxborough Apartments in Philadelphia,2 Bedroom 1 Bath,2,1,"Starting at $1,470",810,https://galmangroup.com/property/the-ridge-apartments/,2026-09-21T20:46:22Z,2,1,1470,810,810,TRUE,FALSE,Roxborough,FALSE,Not one bedroom,1.8148148148148149,TRUE
the-ridge-apartments,The Ridge Apartments,Roxborough Apartments in Philadelphia,2 Bedroom 2 Bath,2,2,Call for Availability,817,https://galmangroup.com/property/the-ridge-apartments/,2026-09-21T20:46:22Z,2,2,NA,817,817,TRUE,FALSE,Roxborough,FALSE,Not one bedroom,NA,FALSE
ridge-court,Ridge Court,Roxborough Apartments for Rent,1 Bedroom,1,1,"Starting at $1,345",598,https://galmangroup.com/property/ridge-court/,2026-09-21T20:46:26Z,1,1,1345,598,598,TRUE,FALSE,Roxborough,TRUE,Included,2.249163879598662,TRUE
ridge-court,Ridge Court,Roxborough Apartments for Rent,2 Bedroom,2,1,"Starting at $1,625","798-1,040",https://galmangroup.com/property/ridge-court/,2026-09-21T20:46:26Z,2,1,1625,798,1040,FALSE,FALSE,Roxborough,FALSE,Not one bedroom,NA,FALSE
ridgeview-apartments,Ridgeview Apartments,Luxury Apartments in Roxborough,1 Bed | 1 Bath,1,1,"Starting at $1,310",651-690,https://galmangroup.com/property/ridgeview-apartments/,2026-09-21T20:46:28Z,1,1,1310,651,690,FALSE,FALSE,Roxborough,TRUE,Included,NA,TRUE
ridgeview-apartments,Ridgeview Apartments,Luxury Apartments in Roxborough,2 Bed | 1 Bath,2,1,"Starting From $1,761",900-950,https://galmangroup.com/property/ridgeview-apartments/,2026-09-21T20:46:28Z,2,1,1761,900,950,FALSE,FALSE,Roxborough,FALSE,Not one bedroom,NA,FALSE
rock-hill-apartments,Rock Hill Apartments,"Apartments for Rent in Manayunk, PA",Studio,Studio,1,Call for Availability,571,https://galmangroup.com/property/rock-hill-apartments/,2026-09-21T20:46:30Z,0,1,NA,571,571,TRUE,FALSE,Manayunk,FALSE,Not one bedroom,NA,FALSE
rock-hill-apartments,Rock Hill Apartments,"Apartments for Rent in Manayunk, PA",1 Bedroom,1,1,"Starting at $1,565",571-623,https://galmangroup.com/property/rock-hill-apartments/,2026-09-21T20:46:30Z,1,1,1565,571,623,FALSE,FALSE,Manayunk,TRUE,Included,NA,FALSE
rock-hill-apartments,Rock Hill Apartments,"Apartments for Rent in Manayunk, PA",2 Bedroom,2,1,"Starting at $1,664",832,https://galmangroup.com/property/rock-hill-apartments/,2026-09-21T20:46:30Z,2,1,1664,832,832,TRUE,FALSE,Manayunk,FALSE,Not one bedroom,2,FALSE
rock-hill-apartments,Rock Hill Apartments,"Apartments for Rent in Manayunk, PA",2 Bedroom,2,2,"Starting at $1,750",832,https://galmangroup.com/property/rock-hill-apartments/,2026-09-21T20:46:30Z,2,2,1750,832,832,TRUE,FALSE,Manayunk,FALSE,Not one bedroom,2.1033653846153846,FALSE
sedgwick-station,Sedgwick Station,Apartments in Mount Airy Philadelphia,1 Bed | 1 Bath,1,1,"Starting At $1,510",606,https://galmangroup.com/property/sedgwick-station/,2026-09-21T20:46:32Z,1,1,1510,606,606,TRUE,FALSE,Mount Airy,TRUE,Included,2.4917491749174916,FALSE
sedgwick-station,Sedgwick Station,Apartments in Mount Airy Philadelphia,2 Bed | 1 Bath,2,1,"Starting At $1,668",744,https://galmangroup.com/property/sedgwick-station/,2026-09-21T20:46:32Z,2,1,1668,744,744,TRUE,FALSE,Mount Airy,FALSE,Not one bedroom,2.2419354838709675,FALSE
stenton-plaza,Stenton Plaza,"Mt. Airy Apartments in Philadelphia, PA!",Studio,Studio,1,Call for Availability,305,https://galmangroup.com/property/stenton-plaza/,2026-09-21T20:46:41Z,0,1,NA,305,305,TRUE,FALSE,Mount Airy,FALSE,Not one bedroom,NA,FALSE
stenton-plaza,Stenton Plaza,"Mt. Airy Apartments in Philadelphia, PA!",1 Bedroom,1,1,"Starting At $1,314",585,https://galmangroup.com/property/stenton-plaza/,2026-09-21T20:46:41Z,1,1,1314,585,585,TRUE,FALSE,Mount Airy,TRUE,Included,2.246153846153846,TRUE
stenton-plaza,Stenton Plaza,"Mt. Airy Apartments in Philadelphia, PA!",2 Bedroom,2,1,Call for Availability,815,https://galmangroup.com/property/stenton-plaza/,2026-09-21T20:46:41Z,2,1,NA,815,815,TRUE,FALSE,Mount Airy,FALSE,Not one bedroom,NA,FALSE
